epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2759174406528473,0.0010000000474974513,5.2598795890808105,0.5864661931991577,2.6140663623809814
1,0.5877100229263306,0.0010000000474974513,2.226039171218872,0.746553897857666,1.3560527563095093
2,0.712333083152771,0.0010000000474974513,1.4315085411071777,0.8048245906829834,1.0068516731262207
3,0.7811068296432495,0.0010000000474974513,1.100282073020935,0.8339598774909973,0.8553545475006104
4,0.8220342397689819,0.0010000000474974513,0.911450982093811,0.8502506017684937,0.7870994210243225
5,0.8443974256515503,0.0010000000474974513,0.7957679629325867,0.8540100455284119,0.746142566204071
6,0.8656640648841858,0.0010000000474974513,0.7071763873100281,0.8668546080589294,0.7024136781692505
7,0.8819566965103149,0.0010000000474974513,0.63605797290802,0.8765664100646973,0.6730368733406067
8,0.8968002200126648,0.0010000000474974513,0.5608819723129272,0.8731203079223633,0.6655967235565186
9,0.9049465656280518,0.0010000000474974513,0.5165418386459351,0.8859649300575256,0.6270659565925598
10,0.9248031973838806,0.0009000000427477062,0.4297085702419281,0.8931704163551331,0.598783552646637
11,0.9410958290100098,0.0008100000559352338,0.3581106960773468,0.8978696465492249,0.5603604912757874
12,0.9501821398735046,0.0007290000794455409,0.304864764213562,0.9063283205032349,0.518259584903717
13,0.9620882868766785,0.0006561000482179224,0.25033363699913025,0.9160401225090027,0.47014543414115906
14,0.9698429703712463,0.0005904900608584285,0.20968173444271088,0.9166666865348816,0.4561075270175934
15,0.9731719493865967,0.0005314410664141178,0.18182586133480072,0.9104009866714478,0.4803374111652374
16,0.980221688747406,0.00047829694813117385,0.15334241092205048,0.9129072427749634,0.4543808400630951
17,0.9814357757568359,0.00021523362374864519,0.13869355618953705,0.9166666865348816,0.42828747630119324
18,0.9862139225006104,0.0001937102642841637,0.11755912005901337,0.9248120188713074,0.3867711126804352
19,0.9897387623786926,0.0001743392349453643,0.09733638912439346,0.9279448390007019,0.376630038022995
20,0.9909920692443848,0.0001569053129060194,0.08825995773077011,0.9282581210136414,0.36389657855033875
21,0.9924020171165466,0.00014121478307060897,0.08124814182519913,0.9304511547088623,0.36400607228279114
22,0.992323637008667,0.00012709329894278198,0.07717756181955338,0.923872172832489,0.3716849684715271
23,0.9928327798843384,0.00011438396904850379,0.07358361780643463,0.9260651469230652,0.3722500205039978
24,0.9944385886192322,5.1472787163220346e-05,0.07006152719259262,0.9291979670524597,0.37021270394325256
25,0.9942035675048828,4.632550917449407e-05,0.06665191799402237,0.9279448390007019,0.3651513159275055
26,0.9945952296257019,4.1692957893246785e-05,0.06520082801580429,0.9295112490653992,0.36238569021224976
