epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3011005222797394,0.0010000000474974513,5.027530670166016,0.594924807548523,2.463261127471924
1,0.5964046716690063,0.0010000000474974513,2.1238081455230713,0.7083333134651184,1.49365234375
2,0.7050092220306396,0.0010000000474974513,1.4313305616378784,0.7828947305679321,1.062535047531128
3,0.7664199471473694,0.0010000000474974513,1.1392494440078735,0.8189222812652588,0.9162033796310425
4,0.8069165349006653,0.0010000000474974513,0.9477037191390991,0.8370927572250366,0.8235037922859192
5,0.8419691920280457,0.0010000000474974513,0.8053455948829651,0.8540100455284119,0.765561044216156
6,0.858301043510437,0.0010000000474974513,0.7264489531517029,0.8731203079223633,0.7118598818778992
7,0.8775310516357422,0.0010000000474974513,0.6407471895217896,0.8775062561035156,0.6496447920799255
8,0.8902596831321716,0.0010000000474974513,0.5810098052024841,0.8793859481811523,0.6344601511955261
9,0.9029491543769836,0.0010000000474974513,0.5218848586082458,0.8878446221351624,0.6343478560447693
10,0.923980712890625,0.0009000000427477062,0.42989304661750793,0.890350878238678,0.5912952423095703
11,0.9388634562492371,0.0008100000559352338,0.35417741537094116,0.9047619104385376,0.525471031665802
12,0.9534719586372375,0.0007290000794455409,0.289020299911499,0.9116541147232056,0.47733020782470703
13,0.9634199142456055,0.0006561000482179224,0.2335633784532547,0.9125939607620239,0.4679540693759918
14,0.9723103642463684,0.0005904900608584285,0.18971066176891327,0.9182330965995789,0.4401765465736389
15,0.9758743643760681,0.0005314410664141178,0.16382016241550446,0.9188596606254578,0.41690725088119507
16,0.9812399744987488,0.00047829694813117385,0.14084380865097046,0.9210526347160339,0.4253648519515991
17,0.9840598702430725,0.00043046724749729037,0.11972588300704956,0.9254385828971863,0.4047468304634094
18,0.9871147274971008,0.0003874205285683274,0.10578007996082306,0.9254385828971863,0.39222970604896545
19,0.9894254207611084,0.0003486784698907286,0.09075330197811127,0.9285714030265808,0.3915345370769501
20,0.989973783493042,0.0003138106258120388,0.08238670229911804,0.9260651469230652,0.38382622599601746
21,0.9922061562538147,0.00028242956614121795,0.07164106518030167,0.9295112490653992,0.37263837456703186
22,0.9942818880081177,0.00025418659788556397,0.06266855448484421,0.9279448390007019,0.37958860397338867
23,0.9943210482597351,0.00022876793809700757,0.05876360088586807,0.9317042827606201,0.3620571196079254
24,0.9946343898773193,0.00020589114865288138,0.055721864104270935,0.9310777187347412,0.3628543019294739
25,0.9952218532562256,0.0001853020366979763,0.052283160388469696,0.9364035129547119,0.3499148488044739
26,0.9952218532562256,0.00016677183157298714,0.051547467708587646,0.9317042827606201,0.35026898980140686
27,0.9962009787559509,0.000150094652781263,0.04674317315220833,0.9317042827606201,0.34237322211265564
28,0.9962792992591858,6.75425908411853e-05,0.043970737606287,0.9298245906829834,0.34561479091644287
29,0.9969059824943542,6.078833030187525e-05,0.0417378693819046,0.9313910007476807,0.3486061990261078
30,0.9975326061248779,5.470949690788984e-05,0.03867952898144722,0.9348371028900146,0.33623799681663513
